5262.51951 15.709 0.006
5264.52435 15.563 0.005
5265.57598 15.704 0.006
5266.51965 15.820 0.006
5267.51969 15.567 0.005
5269.50335 15.796 0.006
5272.51462 15.798 0.006
5273.49971 15.619 0.006
5275.49875 15.771 0.006
5277.51023 15.620 0.006
5280.51365 15.605 0.006
5282.49423 15.768 0.006
5284.50832 15.728 0.006
5285.50825 15.810 0.007
5288.50010 15.823 0.006
5291.49892 15.821 0.006
5294.50864 15.800 0.006
5296.53731 15.671 0.006
5298.52224 15.599 0.006
5301.48264 15.662 0.006
5306.49516 15.760 0.006
5308.51774 15.608 0.006
5312.47779 15.717 0.007
5315.46631 15.700 0.007
5428.92150 15.803 0.005
5439.84298 15.648 0.006
5444.86115 15.684 0.005
5449.91300 15.742 0.006
5450.84243 15.786 0.006
5454.84607 15.564 0.005
5457.85427 15.568 0.005
5459.78313 15.813 0.005
5463.84572 15.575 0.005
5467.82015 15.636 0.005
5468.77879 15.772 0.006
5469.83048 15.672 0.005
5471.79459 15.772 0.006
5475.88822 15.753 0.006
5478.74311 15.820 0.005
5480.73842 15.699 0.006
5482.73588 15.553 0.006
5484.74238 15.828 0.006
5486.72757 15.663 0.005
5488.71137 15.605 0.005
5489.73247 15.651 0.005
5491.71138 15.658 0.005
5492.73118 15.631 0.006
5494.72049 15.702 0.006
5496.76840 15.770 0.006
5499.79345 15.748 0.005
5505.86846 15.715 0.006
5510.76751 15.558 0.005
5512.78599 15.812 0.006
5514.78869 15.666 0.005
5516.79162 15.594 0.005
5518.81505 15.792 0.006
5521.81423 15.774 0.006
5523.77299 15.603 0.006
5525.78262 15.733 0.005
5527.70633 15.731 0.005
5528.84064 15.757 0.005
5529.73063 15.574 0.005
5530.76029 15.715 0.005
5532.75283 15.566 0.005
5533.81972 15.717 0.005
5534.68050 15.817 0.006
5535.77147 15.558 0.005
5539.81042 15.679 0.005
5541.75122 15.589 0.005
5543.80143 15.801 0.006
5545.80608 15.648 0.005
5547.71488 15.713 0.005
5549.72833 15.761 0.005
5551.73890 15.603 0.005
5554.77699 15.588 0.006
5557.75049 15.575 0.005
5559.79580 15.820 0.006
5561.72828 15.689 0.005
5565.75985 15.808 0.005
5568.74558 15.803 0.006
5571.71118 15.783 0.005
5574.80948 15.772 0.006
5575.82658 15.679 0.006
5576.80587 15.619 0.005
5577.76175 15.764 0.006
5578.76297 15.752 0.006
5580.74116 15.726 0.005
5581.74426 15.789 0.006
5582.79101 15.581 0.005
5584.74153 15.838 0.006
5585.73006 15.565 0.005
5590.64918 15.800 0.005
5591.72266 15.571 0.005
5593.67387 15.791 0.005
5594.70414 15.615 0.006
5595.71745 15.647 0.005
5596.74286 15.793 0.006
5599.67564 15.766 0.005
5602.70795 15.752 0.005
5604.69404 15.595 0.005
5605.71233 15.734 0.005
5607.66717 15.571 0.005
5609.68226 15.821 0.006
5612.66472 15.824 0.007
5615.61971 15.800 0.005
5624.60371 15.748 0.005
5626.55488 15.601 0.005
5629.54080 15.576 0.005
5631.53964 15.824 0.006
5633.58374 15.710 0.005
5635.54862 15.561 0.005
5639.55809 15.677 0.006
5641.52796 15.592 0.005
5643.52939 15.797 0.006
5645.52853 15.635 0.006
5647.49234 15.704 0.006
5649.49090 15.753 0.006
5651.49434 15.595 0.005
5653.57127 15.773 0.005
5655.49273 15.717 0.005
5657.48783 15.564 0.005
5660.53517 15.567 0.005
5666.53101 15.586 0.006
5669.51254 15.612 0.006
5672.52534 15.664 0.005
5676.51290 15.592 0.005
5679.54710 15.600 0.005
5680.48866 15.737 0.006
5683.47320 15.706 0.006
5684.47452 15.808 0.006
5785.93449 15.649 0.006
5803.90498 15.557 0.005
5805.91830 15.814 0.005
5807.86601 15.656 0.005
5809.89714 15.585 0.005
5812.89291 15.645 0.005
5813.89016 15.634 0.005
5816.82933 15.618 0.005
5819.86377 15.600 0.005
5822.79805 15.571 0.005
5824.79413 15.829 0.005
5826.88508 15.708 0.005
5828.81834 15.552 0.005
